Region	Auftraggeber	Art Bauwerk	Art Arbeit	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
......7611 Solothurn (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	2650	554	0	0	0	0	1093	9100	12000	26425
......7611 Solothurn (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Umbau	3827	0	0	0	0	7801	11308	16999	25934	16662	4884	1007	1801	701	0	2182	325	35
......7611 Solothurn (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Neubau	135290	135674	174452	230475	223190	147206	109427	96361	114041	72812	91041	92778	91200	63185	68648	36849	58439	110090
......7611 Solothurn (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Umbau	55447	26097	30694	26717	42856	32282	17667	24978	19876	23279	19946	22690	25105	45432	47981	34671	68817	131129
......7611 Solothurn (Unzuteilbar)	Private Auftraggeber	Hochbau	Neubau	50	210	1200	440	200	200	2400	23750	33065	32065	36950	28810	28480	3931	6948	8823	7428	10998
......7611 Solothurn (Unzuteilbar)	Private Auftraggeber	Hochbau	Umbau	250	3640	3228	2753	2385	472	2173	6962	6622	10672	7318	6629	14535	13897	6362	4657	3732	647
......7611 Solothurn (Unzuteilbar)	Private Auftraggeber	Tiefbau	Neubau	3320	2700	2700	4540	6150	6047	4650	4120	2126	2870	4200	10400	7208	10057	7505	16151	7964	15261
......7611 Solothurn (Unzuteilbar)	Private Auftraggeber	Tiefbau	Umbau	1060	1020	1037	1840	725	250	100	560	820	835	861	698	5886	7971	754	1116	6822	5485
......7610 Freiburg (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Neubau	150	0	0	0	0	0	0	500	0	0	0	0	0	0	0	254	1170	450
......7610 Freiburg (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Umbau	17433	10528	7430	4200	7430	16410	10587	11922	4884	5102	5095	7007	4122	200	200	21435	19485	178
......7610 Freiburg (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Neubau	173913	162437	165445	131140	118179	91362	38893	26528	19514	24699	37208	38200	49555	37453	87376	90393	31667	53864
......7610 Freiburg (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Umbau	26390	27011	25193	18731	36484	27928	31788	63243	81216	33127	39197	48191	91609	46557	83644	65297	25153	48363
......7610 Freiburg (Unzuteilbar)	Private Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7610 Freiburg (Unzuteilbar)	Private Auftraggeber	Hochbau	Umbau	1500	1500	1165	905	222	630	200	200	250	250	300	500	500	500	2500	2000	5000	5000
......7610 Freiburg (Unzuteilbar)	Private Auftraggeber	Tiefbau	Neubau	2500	3000	2723	22600	7800	3871	2500	3900	2000	1301	1600	1201	1254	1400	1705	14600	21100	17100
......7610 Freiburg (Unzuteilbar)	Private Auftraggeber	Tiefbau	Umbau	1200	1450	2150	600	2210	350	500	1100	550	150	200	1000	1100	500	800	500	500	500
......7609 Zug (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7609 Zug (Unzuteilbar)	Öffentliche Auftraggeber	Hochbau	Umbau	0	0	0	0	0	1107	2117	2717	0	2435	490	0	0	92	0	0	125	166
......7609 Zug (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Neubau	3048	3864	1370	2930	310	764	1655	1796	35016	9136	4496	3797	41322	50011	38164	16483	22748	22240
......7609 Zug (Unzuteilbar)	Öffentliche Auftraggeber	Tiefbau	Umbau	41068	30210	35124	42060	27545	45200	83688	97041	53562	28522	29901	56422	93995	63350	93830	55921	77335	52001
......7609 Zug (Unzuteilbar)	Private Auftraggeber	Hochbau	Neubau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7609 Zug (Unzuteilbar)	Private Auftraggeber	Hochbau	Umbau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
......7609 Zug (Unzuteilbar)	Private Auftraggeber	Tiefbau	Neubau	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	250	303
